DURACAO;ACC EIXO X;ACC EIXO Y;ACC EIXO Z
0;0.234;9.076;2.509
202;0.221;9.048;2.829
383;0.210;8.988;2.774
564;0.215;9.013;2.729
766;0.210;8.991;2.784
947;0.211;8.962;2.863
1128;0.206;9.004;2.835
1309;0.221;8.989;2.793
1511;0.243;8.940;2.911
1692;0.244;8.951;2.895
1873;0.290;8.926;2.936
2075;0.244;8.989;2.931
2256;0.203;8.949;2.931
2437;0.247;8.957;2.842
2639;0.288;8.971;2.822
2820;0.237;9.019;2.706
3001;0.251;8.958;2.715
3203;0.258;9.038;2.741
3384;0.290;8.991;2.854
3565;0.202;8.946;2.838
3747;0.258;8.961;2.850
3948;0.232;8.947;2.875
4129;0.251;8.907;2.905
4311;0.265;8.966;2.859
4512;0.215;8.896;2.952
4693;0.211;8.951;2.848
4874;0.229;8.969;2.883
5076;0.245;9.001;2.853
5257;0.277;8.982;2.783
5438;0.281;9.025;2.800
5640;0.249;8.984;2.741
5821;0.252;8.995;2.789
6002;0.303;9.050;2.734
6204;0.271;8.959;2.810
6385;0.258;8.916;2.823
6566;0.311;8.971;2.808
6748;0.233;8.962;2.851
6949;0.308;8.968;2.788
7130;0.287;8.974;2.802
7312;0.255;9.013;2.789
7513;0.306;8.963;2.707
7694;0.337;9.116;2.605
7876;0.317;8.843;3.199
8077;0.265;6.629;5.312
8258;-0.342;4.967;3.006
8440;-1.932;6.535;5.994
8641;1.235;18.575;17.539
8822;-0.027;9.513;12.472
9004;-2.298;-8.958;2.843
9185;-0.230;1.319;-1.053
9386;0.420;0.703;-0.694
9567;2.374;23.603;9.912
9749;-1.566;11.554;7.641
9950;-0.723;4.924;3.206
10131;0.187;5.730;1.892
10313;1.260;8.338;2.673
10514;-0.214;8.716;2.781
10695;0.223;9.048;2.440
10877;0.263;9.097;2.205
11078;0.208;9.100;2.360
11259;0.158;9.084;2.508
11441;0.195;9.051;2.644
11622;0.134;8.907;2.601
11823;0.132;9.127;2.507
12005;0.222;9.078;2.166
12186;0.222;9.011;2.591
12387;0.186;9.003;2.556
12569;0.169;9.099;2.447
12750;0.148;9.066;2.576
12951;0.192;9.081;2.463
13133;0.210;9.026;2.424
13314;0.134;9.189;2.354
13515;0.143;9.010;2.638
13697;0.114;9.084;2.492
13878;0.105;9.023;2.568
14059;0.232;8.961;2.423
14260;0.149;9.084;2.460
14442;0.129;9.072;2.388
14623;0.131;9.139;2.292
